Marca temporal,¿Qué tan claro lo encontró?,Qué tan complicado lo encontró?,¿Qué nota le pondría a la nueva forma de votar?,¿Dentro de qué rango está su edad?,Observado por encuestador/a: Sexo de persona encuestada,
15/12/2019 11:08:53,Muy claro,Poco complicado,6,Entre 61 y 70,Mujer,
15/12/2019 11:08:59,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:09:12,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:09:38,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 11:09:54,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:10:13,Muy claro,Poco complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:10:14,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:11:02,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:11:18,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:11:24,Muy claro,Poco complicado,6,Entre 31 y 40,Hombre,
15/12/2019 11:11:52,Muy claro,Nada complicado,5,Entre 51 y 60,Hombre,
15/12/2019 11:11:59,Muy claro,Poco complicado,6,Entre 31 y 40,Hombre,
15/12/2019 11:12:34,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:12:55,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:12:58,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 11:13:02,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:13:09,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:13:30,Muy claro,Nada complicado,6,Entre 51 y 60,Mujer,
15/12/2019 11:13:53,Poco claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 11:14:16,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:14:29,Poco claro,Poco complicado,6,71 o más,Mujer,
15/12/2019 11:15:09,Muy claro,Poco complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:15:53,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:15:56,Muy claro,Poco complicado,6,Entre 31 y 40,Mujer,
15/12/2019 11:16:02,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:16:32,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:16:57,Muy claro,Muy complicado,6,Entre 21 y 30,Mujer,
15/12/2019 11:17:16,Muy claro,Muy complicado,7,Entre 51 y 60,Hombre,
